Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,OCM,14600,366,726,364
HPC0,OCM,177160,4430,8854,4428
HPC0,OCM,375520,9390,18772,9387
HPC0,OCM,580172,14505,29002,14502
HPC0,OCM,797223,19930,39852,19927
HPC0,OCM,1014223,25354,50702,25352
HPC0,OCM,1237838,30934,61862,30932
HPC0,OCM,1461038,36514,73022,36512
HPC0,OCM,1684238,42094,84182,42092
HPC0,OCM,1907654,47674,95342,47672
HPC0,OCM,2130854,53254,106502,53252
HPC0,OCM,2360339,58989,117972,58987
HPC0,OCM,2589790,64724,129442,64722
HPC0,OCM,2819190,70459,140912,70457
HPC0,OCM,3048590,76194,152382,76192
HPC0,OCM,3277950,81929,163852,81926
HPC0,OCM,3507441,87664,175322,87662
HPC0,OCM,3736801,93399,186792,93396
HPC0,OCM,3966252,99134,198262,99131
HPC0,OCM,4195859,104869,209732,104866
HPC0,OCM,4437835,110914,221822,110912
HPC0,OCM,4679646,116959,233912,116956
HPC0,OCM,4921548,123004,246000,123001
HPC0,OCM,5163349,129049,258090,129046
HPC0,OCM,5405149,135094,270182,135091
HPC0,OCM,5647051,141139,282270,141136
HPC0,OCM,5888902,147184,294362,147181
HPC0,OCM,6130702,153229,306450,153226
HPC0,OCM,6372554,159274,318540,159271
HPC0,OCM,6614354,165319,330630,165316
HPC0,OCM,6856206,171364,342720,171361
HPC0,OCM,7098154,177409,354810,177406
HPC0,OCM,7339954,183453,366900,183451
HPC0,OCM,7581894,189499,378990,189496
HPC0,OCM,7823807,195543,391080,195541
HPC0,OCM,8065607,201588,403170,201586
HPC0,OCM,8307460,207633,415260,207631
HPC0,OCM,8549260,213678,427350,213676
HPC0,OCM,8791112,219723,439440,219721
HPC0,OCM,9032950,225768,451530,225766
HPC0,OCM,9274769,231813,463620,231811
HPC0,OCM,9516569,237858,475710,237856
HPC0,OCM,9758420,243903,487800,243901
HPC0,OCM,10000271,249948,499890,249946
HPC0,OCM,10248322,256148,512290,256146
HPC0,OCM,10496322,262348,524690,262346
HPC0,OCM,10744322,268548,537090,268546
HPC0,OCM,10992322,274748,549490,274746
HPC0,OCM,11240445,280948,561890,280946
HPC0,OCM,11488445,287148,574290,287146
HPC0,OCM,11736445,293348,586690,293346
HPC0,OCM,11984445,299548,599090,299546
HPC0,OCM,12232995,305748,611490,305746
HPC0,OCM,12481553,311948,623890,311946
HPC0,OCM,12729586,318148,636290,318146
HPC0,OCM,12977597,324348,648690,324345
HPC0,OCM,13225637,330548,661090,330546
HPC0,OCM,13473647,336748,673490,336745
HPC0,OCM,13721687,342948,685890,342946
HPC0,OCM,13970758,349148,698290,349146
HPC0,OCM,14218758,355348,710690,355346
HPC0,OCM,14466718,361548,723090,361545
HPC0,OCM,14714793,367748,735488,367745
HPC0,OCM,14962833,373948,747890,373946
HPC0,OCM,15210960,380148,760290,380146
HPC0,OCM,15458920,386348,772690,386345
HPC0,OCM,15706920,392548,785088,392545
HPC0,OCM,15954920,398748,797490,398745
HPC0,OCM,16202920,404948,809888,404945
HPC0,OCM,16451023,411147,822288,411145
HPC0,OCM,16699075,417348,834688,417345
HPC0,OCM,16947152,423548,847088,423545
HPC0,OCM,17195204,429747,859488,429745
HPC0,OCM,17443236,435948,871888,435945
HPC0,OCM,17691237,442148,884288,442145
HPC0,OCM,17939350,448347,896688,448345
HPC0,OCM,18187402,454547,909088,454545
HPC0,OCM,18435453,460747,921488,460745
HPC0,OCM,18683455,466947,933888,466945
HPC0,OCM,18931507,473147,946288,473145
HPC0,OCM,19179507,479348,958688,479345
HPC0,OCM,19427507,485548,971088,485545
HPC0,OCM,19675507,491748,983488,491745
HPC0,OCM,19923558,497947,995888,497945
HPC0,OCM,20171558,504147,1008288,504145
HPC0,OCM,20425759,510503,1020998,510500
HPC0,OCM,20679959,516857,1033708,516855
HPC0,OCM,20934159,523212,1046418,523210
HPC0,OCM,21189478,529567,1059128,529565
HPC0,OCM,21444218,535922,1071838,535920
HPC0,OCM,21699664,542277,1084548,542275
HPC0,OCM,21953864,548632,1097258,548630
HPC0,OCM,22208064,554987,1109968,554985
HPC0,OCM,22462315,561342,1122678,561340
HPC0,OCM,22716516,567697,1135388,567695
HPC0,OCM,22970767,574052,1148098,574050
HPC0,OCM,23224967,580407,1160808,580405
HPC0,OCM,23479167,586762,1173518,586760
HPC0,OCM,23733418,593117,1186228,593115
HPC0,OCM,23987670,599472,1198938,599470
OCM test run cycles 33906105
