Format: Memory_Config,Total_Read_Latency,Read_Transactions,Total_Write_latency,Write_Transactions
HPC0,OCM,13260,444,880,442
HPC0,OCM,161708,5391,10776,5389
HPC0,OCM,348467,11617,23228,11615
HPC0,OCM,546607,18221,36436,18219
HPC0,OCM,744750,24825,49644,24823
HPC0,OCM,942916,31429,62852,31427
HPC0,OCM,1141048,38034,76060,38031
HPC0,OCM,1344817,44826,89646,44824
HPC0,OCM,1548614,51619,103232,51617
HPC0,OCM,1758081,58601,117196,58599
HPC0,OCM,1967551,65582,131158,65580
HPC0,OCM,2176986,72564,145122,72562
HPC0,OCM,2386455,79545,159084,79543
HPC0,OCM,2595910,86527,173048,86525
HPC0,OCM,2805380,93508,187010,93506
HPC0,OCM,3014816,100490,200974,100488
HPC0,OCM,3235592,107849,215692,107847
HPC0,OCM,3456400,115208,230410,115206
HPC0,OCM,3677176,122567,245128,122565
HPC0,OCM,3897974,129926,259846,129924
HPC0,OCM,4118752,137284,274562,137282
HPC0,OCM,4339527,144643,289280,144641
HPC0,OCM,4560303,152003,303998,152000
HPC0,OCM,4781085,159361,318716,159359
HPC0,OCM,5001881,166721,333434,166718
HPC0,OCM,5222679,174079,348152,174077
HPC0,OCM,5443425,181438,362870,181436
HPC0,OCM,5664208,188797,377588,188795
HPC0,OCM,5884983,196156,392306,196154
HPC0,OCM,6105758,203515,407024,203513
HPC0,OCM,6326532,210874,421742,210872
HPC0,OCM,6547317,218233,436460,218231
HPC0,OCM,6768093,225592,451178,225590
HPC0,OCM,6988867,232951,465896,232949
HPC0,OCM,7209642,240310,480614,240308
HPC0,OCM,7430427,247669,495332,247667
HPC0,OCM,7651210,255028,510050,255026
HPC0,OCM,7871995,262387,524768,262385
HPC0,OCM,8092771,269746,539486,269744
HPC0,OCM,8313545,277105,554204,277103
HPC0,OCM,8534330,284464,568922,284462
HPC0,OCM,8755138,291823,583640,291821
HPC0,OCM,8975890,299182,598358,299180
HPC0,OCM,9196671,306541,613074,306539
HPC0,OCM,9417450,313900,627794,313898
HPC0,OCM,9638263,321259,642512,321257
HPC0,OCM,9859042,328617,657228,328615
HPC0,OCM,10079818,335976,671946,335974
HPC0,OCM,10306265,343524,687042,343522
HPC0,OCM,10532700,351072,702138,351070
HPC0,OCM,10759148,358620,717232,358617
HPC0,OCM,10985611,366167,732328,366165
HPC0,OCM,11212042,373715,747424,373713
HPC0,OCM,11438492,381262,762518,381260
HPC0,OCM,11664913,388810,777614,388808
HPC0,OCM,11891376,396358,792708,396355
HPC0,OCM,12117825,403905,807804,403903
HPC0,OCM,12344242,411453,822898,411451
HPC0,OCM,12570703,419001,837994,418998
HPC0,OCM,12797120,426548,853090,426546
HPC0,OCM,13023581,434096,868184,434093
HPC0,OCM,13250045,441644,883280,441641
HPC0,OCM,13476463,449191,898376,449189
HPC0,OCM,13702938,456739,913470,456736
HPC0,OCM,13929385,464286,928566,464284
HPC0,OCM,14155848,471834,943662,471832
HPC0,OCM,14382266,479382,958758,479380
HPC0,OCM,14608718,486929,973852,486927
HPC0,OCM,14835138,494477,988948,494475
HPC0,OCM,15061615,502024,1004042,502022
HPC0,OCM,15293702,509761,1019514,509758
HPC0,OCM,15525790,517497,1034988,517495
HPC0,OCM,15757907,525233,1050460,525231
HPC0,OCM,15990010,532970,1065934,532968
HPC0,OCM,16222130,540706,1081406,540704
HPC0,OCM,16454224,548442,1096878,548440
HPC0,OCM,16686311,556179,1112350,556177
HPC0,OCM,16918416,563915,1127822,563913
HPC0,OCM,17150536,571651,1143296,571649
HPC0,OCM,17382642,579387,1158768,579385
HPC0,OCM,17614747,587124,1174242,587122
HPC0,OCM,17846879,594860,1189714,594858
HPC0,OCM,18078982,602597,1205186,602595
HPC0,OCM,18311074,610333,1220660,610331
HPC0,OCM,18543163,618069,1236132,618067
HPC0,OCM,18775300,625805,1251604,625803
HPC0,OCM,19007390,633542,1267076,633539
HPC0,OCM,19239493,641278,1282550,641276
HPC0,OCM,19471626,649014,1298022,649012
HPC0,OCM,19703712,656751,1313496,656749
HPC0,OCM,19935800,664487,1328966,664485
HPC0,OCM,20167938,672223,1344440,672221
HPC0,OCM,20400039,679960,1359914,679958
HPC0,OCM,20632129,687696,1375386,687694
HPC0,OCM,20864245,695432,1390858,695430
HPC0,OCM,21096335,703169,1406330,703166
HPC0,OCM,21328420,710905,1421804,710903
HPC0,OCM,21560539,718641,1437276,718639
HPC0,OCM,21792629,726377,1452748,726375
HPC0,OCM,22024731,734114,1468222,734112
OCM test run cycles 34105696
